,team_rank,team_name,team_http,team_id
0,1,德国,//liansai.500.com/team/13/teamfixture/,13
1,2,巴西,//liansai.500.com/team/11/teamfixture/,11
2,3,比利时,//liansai.500.com/team/23/teamfixture/,23
3,4,葡萄牙,//liansai.500.com/team/20/teamfixture/,20
4,5,阿根廷,//liansai.500.com/team/14/teamfixture/,14
5,6,瑞士,//liansai.500.com/team/46/teamfixture/,46
6,7,法国,//liansai.500.com/team/10/teamfixture/,10
7,8,波兰,//liansai.500.com/team/37/teamfixture/,37
8,9,智利,//liansai.500.com/team/2915/teamfixture/,2915
9,10,西班牙,//liansai.500.com/team/12/teamfixture/,12
10,11,秘鲁,//liansai.500.com/team/65/teamfixture/,65
11,12,丹麦,//liansai.500.com/team/3/teamfixture/,3
12,12,英格兰,//liansai.500.com/team/15/teamfixture/,15
13,14,乌拉圭,//liansai.500.com/team/28/teamfixture/,28
14,15,墨西哥,//liansai.500.com/team/16/teamfixture/,16
15,16,哥伦比亚,//liansai.500.com/team/6/teamfixture/,6
16,17,荷兰,//liansai.500.com/team/18/teamfixture/,18
17,18,威尔士,//liansai.500.com/team/62/teamfixture/,62
18,19,意大利,//liansai.500.com/team/19/teamfixture/,19
19,20,克罗地亚,//liansai.500.com/team/36/teamfixture/,36
20,21,突尼斯,//liansai.500.com/team/40/teamfixture/,40
21,22,冰岛,//liansai.500.com/team/57/teamfixture/,57
22,23,哥斯达黎加,//liansai.500.com/team/8/teamfixture/,8
23,24,瑞典,//liansai.500.com/team/27/teamfixture/,27
24,25,美国,//liansai.500.com/team/2/teamfixture/,2
25,26,奥地利,//liansai.500.com/team/53/teamfixture/,53
26,27,塞内加尔,//liansai.500.com/team/32/teamfixture/,32
27,28,斯洛伐克,//liansai.500.com/team/54/teamfixture/,54
28,29,北爱尔兰,//liansai.500.com/team/97/teamfixture/,97
29,30,罗马尼亚,//liansai.500.com/team/26/teamfixture/,26
30,31,爱尔兰,//liansai.500.com/team/21/teamfixture/,21
31,32,巴拉圭,//liansai.500.com/team/24/teamfixture/,24
32,33,委内瑞拉,//liansai.500.com/team/88/teamfixture/,88
33,34,塞尔维亚,//liansai.500.com/team/4/teamfixture/,4
34,35,乌克兰,//liansai.500.com/team/47/teamfixture/,47
35,36,澳大利亚,//liansai.500.com/team/45/teamfixture/,45
36,37,伊朗,//liansai.500.com/team/34/teamfixture/,34
37,38,民主刚果,//liansai.500.com/team/68/teamfixture/,68
38,38,土耳其,//liansai.500.com/team/17/teamfixture/,17
39,40,波黑,//liansai.500.com/team/80/teamfixture/,80
40,41,摩洛哥,//liansai.500.com/team/38/teamfixture/,38
41,42,苏格兰,//liansai.500.com/team/56/teamfixture/,56
42,43,黑山,//liansai.500.com/team/4172/teamfixture/,4172
43,44,希腊,//liansai.500.com/team/49/teamfixture/,49
44,45,埃及,//liansai.500.com/team/41/teamfixture/,41
45,46,捷克,//liansai.500.com/team/22/teamfixture/,22
46,47,加纳,//liansai.500.com/team/60/teamfixture/,60
47,48,尼日利亚,//liansai.500.com/team/30/teamfixture/,30
48,49,喀麦隆,//liansai.500.com/team/5/teamfixture/,5
49,49,保加利亚,//liansai.500.com/team/43/teamfixture/,43
50,51,匈牙利,//liansai.500.com/team/55/teamfixture/,55
51,52,布基纳法索,//liansai.500.com/team/73/teamfixture/,73
52,53,挪威,//liansai.500.com/team/31/teamfixture/,31
53,54,牙买加,//liansai.500.com/team/61/teamfixture/,61
54,55,巴拿马,//liansai.500.com/team/121/teamfixture/,121
55,56,斯洛文尼亚,//liansai.500.com/team/35/teamfixture/,35
56,57,韩国,//liansai.500.com/team/25/teamfixture/,25
57,58,阿尔巴尼亚,//liansai.500.com/team/96/teamfixture/,96
58,59,玻利维亚,//liansai.500.com/team/79/teamfixture/,79
59,60,厄瓜多尔,//liansai.500.com/team/33/teamfixture/,33
60,61,日本,//liansai.500.com/team/29/teamfixture/,29
61,62,洪都拉斯,//liansai.500.com/team/42/teamfixture/,42
62,63,芬兰,//liansai.500.com/team/44/teamfixture/,44
63,64,马里,//liansai.500.com/team/83/teamfixture/,83
64,65,佛得角,//liansai.500.com/team/152/teamfixture/,152
65,66,阿尔及利亚,//liansai.500.com/team/69/teamfixture/,69
66,67,沙特,//liansai.500.com/team/39/teamfixture/,39
67,68,科特迪瓦,//liansai.500.com/team/59/teamfixture/,59
68,68,几内亚,//liansai.500.com/team/115/teamfixture/,115
69,70,俄罗斯,//liansai.500.com/team/7/teamfixture/,7
70,71,马其顿,//liansai.500.com/team/85/teamfixture/,85
71,72,萨尔瓦多,//liansai.500.com/team/95/teamfixture/,95
72,73,叙利亚,//liansai.500.com/team/94/teamfixture/,94
73,74,南非,//liansai.500.com/team/9/teamfixture/,9
74,75,中国,//liansai.500.com/team/1/teamfixture/,1
75,76,赞比亚,//liansai.500.com/team/63/teamfixture/,63
76,77,阿联酋,//liansai.500.com/team/78/teamfixture/,78
77,78,白俄罗斯,//liansai.500.com/team/74/teamfixture/,74
78,79,加拿大,//liansai.500.com/team/72/teamfixture/,72
79,79,黎巴嫩,//liansai.500.com/team/106/teamfixture/,106
80,81,库拉索,//liansai.500.com/team/7516/teamfixture/,7516
81,82,乌干达,//liansai.500.com/team/107/teamfixture/,107
82,83,刚果,//liansai.500.com/team/3112/teamfixture/,3112
83,84,阿曼,//liansai.500.com/team/93/teamfixture/,93
84,85,加蓬,//liansai.500.com/team/114/teamfixture/,114
85,85,卢森堡,//liansai.500.com/team/146/teamfixture/,146
86,87,塞浦路斯,//liansai.500.com/team/84/teamfixture/,84
87,88,贝宁,//liansai.500.com/team/138/teamfixture/,138
88,89,伊拉克,//liansai.500.com/team/52/teamfixture/,52
89,90,法罗群岛,//liansai.500.com/team/112/teamfixture/,112
90,91,特立尼达和多巴哥,//liansai.500.com/team/48/teamfixture/,48
91,92,吉尔吉斯斯坦,//liansai.500.com/team/166/teamfixture/,166
92,93,以色列,//liansai.500.com/team/51/teamfixture/,51
93,94,爱沙尼亚,//liansai.500.com/team/64/teamfixture/,64
94,95,乌兹别克斯坦,//liansai.500.com/team/91/teamfixture/,91
95,96,格鲁吉亚,//liansai.500.com/team/77/teamfixture/,77
96,97,印度,//liansai.500.com/team/124/teamfixture/,124
97,98,卡塔尔,//liansai.500.com/team/70/teamfixture/,70
98,99,巴勒斯坦,//liansai.500.com/team/149/teamfixture/,149
99,100,亚美尼亚,//liansai.500.com/team/101/teamfixture/,101
100,101,利比亚,//liansai.500.com/team/103/teamfixture/,103
101,102,越南,//liansai.500.com/team/3904/teamfixture/,3904
102,103,尼日尔,//liansai.500.com/team/182/teamfixture/,182
103,104,海地,//liansai.500.com/team/86/teamfixture/,86
104,105,阿塞拜疆,//liansai.500.com/team/110/teamfixture/,110
105,106,马达加斯加,//liansai.500.com/team/100/teamfixture/,100
106,107,毛里塔尼亚,//liansai.500.com/team/176/teamfixture/,176
107,108,朝鲜,//liansai.500.com/team/4135/teamfixture/,4135
108,108,中非,//liansai.500.com/team/178/teamfixture/,178
109,110,约旦,//liansai.500.com/team/87/teamfixture/,87
110,111,塞拉利昂,//liansai.500.com/team/139/teamfixture/,139
111,112,肯尼亚,//liansai.500.com/team/90/teamfixture/,90
112,113,巴林,//liansai.500.com/team/102/teamfixture/,102
113,114,莫桑比克,//liansai.500.com/team/125/teamfixture/,125
114,115,菲律宾,//liansai.500.com/team/177/teamfixture/,177
115,116,纳米比亚,//liansai.500.com/team/117/teamfixture/,117
116,117,哈萨克斯坦,//liansai.500.com/team/108/teamfixture/,108
117,118,津巴布韦,//liansai.500.com/team/58/teamfixture/,58
118,119,塔吉克斯坦,//liansai.500.com/team/161/teamfixture/,161
119,120,新西兰,//liansai.500.com/team/50/teamfixture/,50
120,121,几内亚比绍,//liansai.500.com/team/4932/teamfixture/,4932
121,122,泰国,//liansai.500.com/team/71/teamfixture/,71
