id,team_id,team_name,name,code,birthday,height,weight,location,nationality,worth,contract_deadline,starting_number,substitute_number,assists
1698,3,埃及,艾沙耶特,,1977-06-03,-,-,守门员,埃及,0,-,-,-,-
1699,3,埃及,A.夏达利,1,1973-02-15,183,85,守门员,埃及,0,-,1/0,-,-
1700,3,埃及,法菲,,1984-11-10,-,-,后卫,埃及,0,-,-,-,-
1701,3,埃及,华尔高马,,1978-08-03,-,-,后卫,埃及,0,-,-,-,-
1702,3,埃及,莫亚华特,,,-,-,后卫,埃及,0,-,-,-,-
1703,3,埃及,H.萨特,,1980-04-22,180,80,后卫,埃及,0,-,-,-,-
1704,3,埃及,Ahmed Khairy,,,-,-,后卫,埃及,0,-,-,-,-
1705,3,埃及,西卡巴拉,,1986-03-05,183,-,后卫,埃及,54,2018-06-30,-,-,-
1706,3,埃及,法塔拉赫,,1982-02-12,185,-,后卫,埃及,0,-,-,-,-
1707,3,埃及,A.法蒂,7,1984-10-11,176,72,后卫,埃及,0,-,1/0,-,-
1708,3,埃及,埃尔.穆哈马迪,3,1987-09-09,182,81,后卫,埃及,340,2020-06-30,1/0,-,-
1709,3,埃及,A.艾哈迈德,,1993-04-20,181,75,后卫,意大利,76.5,2020-06-30,-,-,-
1710,3,埃及,A,赛艾迪,,1984-03-13,-,-,后卫,埃及,0,-,-,-,-
1711,3,埃及,A.古卡,9,1993-03-05,191,80,后卫,埃及,270,2020-06-30,-,-,-
1712,3,埃及,巴拉卡特,,1976-09-07,197,-,中场,埃及,0,-,-,-,-
1713,3,埃及,阿布德拉兹·陶菲克,,1986-05-24,172,-,中场,埃及,0,-,-,-,-
1714,3,埃及,舒赫尔,,1981-10-05,181,75,中场,埃及,0,-,-,-,-
1715,3,埃及,苏菲,,1981-08-30,180,-,中场,埃及,0,-,-,-,-
1716,3,埃及,Ahmed Abdelghany,,1981-12-01,183,-,中场,埃及,0,-,-,-,-
1717,3,埃及,阿梅德·法拉格,,1986-05-20,184,76,中场,埃及,0,-,-,-,-
1718,3,埃及,马里科,,1980-05-15,-,-,中场,埃及,0,-,-,-,-
1719,3,埃及,哈尼·萨伊德,,1980-04-22,180,80,中场,埃及,0,-,-,-,-
1720,3,埃及,卡迈勒,,1974-05-02,-,-,中场,埃及,0,-,-,-,-
1721,3,埃及,阿布德尔拉泽克,18,1986-03-05,183,-,中场,埃及,0,-,-,-,-
1722,3,埃及,艾美特.奥库卡,,1991-11-11,-,-,中场,埃及,0,-,-,-,-
1723,3,埃及,瓦雷特.苏里文,,1989-12-11,-,-,中场,埃及,0,-,-,-,-
1724,3,埃及,艾沙斯特,,1900-01-01,-,-,中场,埃及,0,-,-,-,-
1725,3,埃及,阿哈迈德.赫加齐,6,1991-01-25,193,94,中场,埃及,270,2022-06-30,1/0,-,-
1726,3,埃及,阿哈迈德·格哈利,,1981-12-15,181,72,中场,埃及,0,-,-,-,-
1727,3,埃及,沙莱.穆罕默德,5,1991-09-09,-,-,中场,埃及,0,-,-,-,-
1728,3,埃及,A.加马尔,,1991-08-03,181,-,中场,埃及,72,2018-06-30,-,-,-
1729,3,埃及,M.埃尔内尼,17,1992-07-11,180,70,中场,埃及,850,2020-06-30,1/1,-,-
1730,3,埃及,M.卡赫拉巴,,1994-04-13,182,76,中场,埃及,0,-,-,-,-
1731,3,埃及,稻米尔,22,1993-09-17,176,-,中场,埃及,90,2018-06-30,1/0,-,-
1732,3,埃及,阿梅德.哈桑,,1975-05-02,178,68,中场,埃及,0,-,-,-,-
1733,3,埃及,M.穆森,,1989-02-26,187,81,中场,埃及,52.8,2017-06-30,-,-,-
1734,3,埃及,阿里布尔,2,1989-01-10,193,-,中场,埃及,108,2018-06-30,1/0,-,-
1735,3,埃及,索卜希,14,1997-01-23,183,-,中场,埃及,425,2020-06-30,-,1/0,-
1736,3,埃及,伊拉美,16,1983-07-10,192,-,中场,埃及,0,-,-,-,-
1737,3,埃及,艾度萨菲,13,1988-07-01,175,-,中场,埃及,0,-,-,-,-
1738,3,埃及,O.加贝尔,4,1992-01-30,174,-,中场,埃及,106,2020-06-30,-,-,-
1739,3,埃及,S.萨德,20,1989-04-01,182,-,中场,埃及,0,-,-,-,-
1740,3,埃及,K·哈菲兹,15,1996-03-12,175,-,中场,埃及,81,2018-06-30,-,-,-
1741,3,埃及,赫加济,,1991-01-25,193,-,中场,埃及,0,-,-,-,-
1742,3,埃及,特勒泽盖,,1994-10-01,179,-,中场,埃及,0,-,1/0,-,-
1743,3,埃及,A.夏辛,,1980-03-29,-,-,前锋,埃及,0,-,-,-,-
1744,3,埃及,Mohamed Homos,,1979-01-01,182,-,前锋,埃及,0,-,-,-,-
1745,3,埃及,华奥夫,,1982-09-15,-,-,前锋,埃及,0,-,-,-,-
1746,3,埃及,艾保基沙,,,-,-,前锋,埃及,0,-,-,-,-
1747,3,埃及,Mohamed Aboutriaka,,,-,-,前锋,埃及,0,-,-,-,-
1748,3,埃及,艾马萨基,,1983-04-01,185,75,前锋,埃及,0,-,-,-,-
1749,3,埃及,莫塔卜,,1983-02-20,176,74,前锋,埃及,0,-,-,-,-
1750,3,埃及,穆罕默德·济丹,,1981-12-11,177,70,前锋,埃及,0,-,-,-,-
1751,3,埃及,S.夏迪,,1984-03-01,185,-,前锋,埃及,0,-,-,-,-
